nombre_supermercado,nombre_producto,marca_producto,precio_producto,calorias,proteinas,carbohidratos,grasas,imagen
carulle,Espinaca,Brand D,7.28,9.0,29.5,17.7,2.4,images/default_image.jpg
carulle,Manzana,Brand I,6.29,1.4,3.2,35.8,12.7,images/default_image.jpg
carulle,Avena,Brand G,6.14,1.1,24.6,48.5,6.0,images/default_image.jpg
carulle,Almendras,Brand C,3.01,5.4,27.2,43.4,7.0,images/default_image.jpg
carulle,Almendras,Brand D,5.56,16.7,19.0,6.8,3.3,images/default_image.jpg
carulle,Salmón,Brand I,3.23,0.6,22.6,38.3,1.4,images/default_image.jpg
carulle,Brócoli,Brand C,2.79,9.1,6.4,44.2,17.7,images/default_image.jpg
carulle,Almendras,Brand C,6.54,-1.4,10.0,35.2,18.5,images/default_image.jpg
carulle,Manzana,Brand B,1.79,8.0,23.5,16.9,7.1,images/default_image.jpg
carulle,Pechuga de Pollo,Brand A,1.83,11.7,17.3,27.6,7.9,images/default_image.jpg
carulle,Brócoli,Brand F,4.04,-8.4,3.8,31.5,14.3,images/default_image.jpg
carulle,Salmón,Brand G,5.62,10.3,15.4,37.4,13.3,images/default_image.jpg
carulle,Espinaca,Brand F,0.8,-3.1,6.9,4.7,17.1,images/default_image.jpg
carulle,Espinaca,Brand B,6.51,-4.6,9.9,24.4,6.8,images/default_image.jpg
carulle,Arroz,Brand J,4.42,-6.6,24.1,5.5,12.0,images/default_image.jpg
carulle,Salmón,Brand A,1.88,9.5,2.9,8.2,12.4,images/default_image.jpg
carulle,Brócoli,Brand J,6.01,-1.0,24.4,21.7,15.4,images/default_image.jpg
carulle,Manzana,Brand G,1.88,0.1,19.5,48.5,10.7,images/default_image.jpg
carulle,Espinaca,Brand D,5.11,-3.9,3.9,37.5,5.8,images/default_image.jpg
carulle,Pechuga de Pollo,Brand F,3.85,4.4,28.8,22.6,0.1,images/default_image.jpg
carulle,Manzana,Brand C,6.7,5.0,11.8,8.2,0.9,images/default_image.jpg
carulle,Salmón,Brand D,3.46,10.7,24.5,21.9,9.9,images/default_image.jpg
carulle,Manzana,Brand B,0.87,4.9,3.0,52.2,14.1,images/default_image.jpg
carulle,Espinaca,Brand G,4.4,8.2,28.3,18.8,18.5,images/default_image.jpg
carulle,Pechuga de Pollo,Brand C,1.07,-2.5,1.5,21.3,14.0,images/default_image.jpg
carulle,Arroz,Brand I,4.77,11.3,24.9,19.2,9.9,images/default_image.jpg
carulle,Plátano,Brand J,1.85,-6.5,2.2,50.3,9.2,images/default_image.jpg
carulle,Salmón,Brand C,3.2,2.5,28.0,43.2,10.1,images/default_image.jpg
carulle,Avena,Brand I,4.39,-2.2,7.0,39.1,10.2,images/default_image.jpg
carulle,Espinaca,Brand F,4.15,-8.4,27.6,10.6,12.6,images/default_image.jpg
