nombre_supermercado,nombre_producto,marca_producto,precio_producto,calorias,proteinas,carbohidratos,grasas,imagen
euru,Espinaca,Brand D,6.88,1.0,29.2,19.8,1.5,images/default_image.jpg
euru,Manzana,Brand I,6.75,1.0,4.8,38.5,11.3,images/default_image.jpg
euru,Avena,Brand G,6.48,2.5,25.6,44.1,6.6,images/default_image.jpg
euru,Almendras,Brand C,3.1,7.0,27.1,42.8,6.4,images/default_image.jpg
euru,Almendras,Brand D,5.49,7.0,20.8,7.7,4.9,images/default_image.jpg
euru,Salmón,Brand I,3.66,5.0,20.9,42.1,3.0,images/default_image.jpg
euru,Brócoli,Brand C,3.05,1.5,8.2,40.2,17.6,images/default_image.jpg
euru,Almendras,Brand C,6.09,7.0,10.0,33.8,19.4,images/default_image.jpg
euru,Manzana,Brand B,2.25,1.0,23.8,21.6,5.3,images/default_image.jpg
euru,Pechuga de Pollo,Brand A,2.0,3.0,16.4,26.5,8.2,images/default_image.jpg
euru,Brócoli,Brand F,3.54,1.5,2.9,28.9,14.3,images/default_image.jpg
euru,Salmón,Brand G,5.28,5.0,17.1,34.2,14.4,images/default_image.jpg
euru,Espinaca,Brand F,0.56,1.0,6.6,6.7,15.9,images/default_image.jpg
euru,Espinaca,Brand B,6.14,1.0,8.3,24.1,6.5,images/default_image.jpg
euru,Arroz,Brand J,4.52,2.0,22.7,5.5,13.8,images/default_image.jpg
euru,Salmón,Brand A,2.1,5.0,1.8,8.7,10.5,images/default_image.jpg
euru,Brócoli,Brand J,5.56,1.5,24.2,17.3,15.5,images/default_image.jpg
euru,Manzana,Brand G,1.6,1.0,18.1,46.6,11.5,images/default_image.jpg
euru,Espinaca,Brand D,5.31,1.0,2.4,36.7,7.4,images/default_image.jpg
euru,Pechuga de Pollo,Brand F,3.81,3.0,28.0,24.2,1.3,images/default_image.jpg
euru,Manzana,Brand C,6.93,1.0,10.0,12.5,0.8,images/default_image.jpg
euru,Salmón,Brand D,3.48,5.0,25.2,19.9,10.0,images/default_image.jpg
euru,Manzana,Brand B,1.13,1.0,4.4,49.3,12.4,images/default_image.jpg
euru,Espinaca,Brand G,4.19,1.0,26.5,20.7,16.6,images/default_image.jpg
euru,Pechuga de Pollo,Brand C,1.26,3.0,2.0,24.5,12.9,images/default_image.jpg
euru,Arroz,Brand I,5.26,2.0,24.2,22.9,9.5,images/default_image.jpg
euru,Plátano,Brand J,2.05,0.5,2.9,45.9,8.0,images/default_image.jpg
euru,Salmón,Brand C,3.4,5.0,27.2,46.9,9.0,images/default_image.jpg
euru,Avena,Brand I,4.83,2.5,8.3,43.6,8.9,images/default_image.jpg
euru,Espinaca,Brand F,4.39,1.0,29.1,11.0,13.0,images/default_image.jpg
euru,Arroz,Brand E,0.86,2.0,8.4,5.1,0.5,images/default_image.jpg
euru,Manzana,Brand C,3.19,1.0,19.9,13.6,11.6,images/default_image.jpg
euru,Brócoli,Brand B,5.03,1.5,22.2,14.6,4.3,images/default_image.jpg
euru,Manzana,Brand E,0.64,1.0,11.0,48.7,14.2,images/default_image.jpg
euru,Espinaca,Brand J,1.54,1.0,13.7,25.3,17.7,images/default_image.jpg
euru,Salmón,Brand D,3.27,5.0,11.5,5.6,0.8,images/default_image.jpg
euru,Almendras,Brand A,3.39,7.0,6.2,17.6,9.2,images/default_image.jpg
euru,Huevos,Brand I,6.34,1.2,13.9,34.0,10.2,images/default_image.jpg
euru,Arroz,Brand D,4.87,2.0,28.5,46.6,6.4,images/default_image.jpg
euru,Almendras,Brand J,0.81,7.0,1.3,48.0,4.7,images/default_image.jpg
euru,Almendras,Brand C,5.14,7.0,28.0,6.1,13.7,images/default_image.jpg
euru,Huevos,Brand G,4.42,1.2,21.1,25.0,8.5,images/default_image.jpg
euru,Huevos,Brand I,5.25,1.2,15.0,27.0,14.3,images/default_image.jpg
euru,Arroz,Brand D,2.16,2.0,18.8,11.6,11.4,images/default_image.jpg
euru,Salmón,Brand B,0.63,5.0,6.7,47.6,7.7,images/default_image.jpg
euru,Almendras,Brand D,4.18,7.0,15.8,48.4,4.5,images/default_image.jpg
euru,Plátano,Brand G,4.48,0.5,2.8,29.5,15.9,images/default_image.jpg
euru,Yogur Griego,Brand D,3.86,1.5,10.1,9.6,10.8,images/default_image.jpg
euru,Espinaca,Brand B,5.8,1.0,19.5,38.1,7.2,images/default_image.jpg
euru,Arroz,Brand I,2.09,2.0,28.7,39.6,16.6,images/default_image.jpg
euru,Arroz,Brand B,1.59,2.0,8.7,27.0,3.8,images/default_image.jpg
euru,Almendras,Brand C,1.23,7.0,17.4,6.6,6.3,images/default_image.jpg
euru,Salmón,Brand J,4.44,5.0,28.3,43.0,12.4,images/default_image.jpg
euru,Arroz,Brand A,4.2,2.0,18.8,34.8,14.9,images/default_image.jpg
euru,Arroz,Brand B,4.69,2.0,23.3,12.6,2.5,images/default_image.jpg
euru,Arroz,Brand E,4.04,2.0,3.1,33.5,10.9,images/default_image.jpg
euru,Yogur Griego,Brand A,6.6,1.5,21.9,45.1,13.3,images/default_image.jpg
euru,Yogur Griego,Brand J,3.8,1.5,18.5,47.7,3.8,images/default_image.jpg
euru,Avena,Brand F,2.37,2.5,29.2,42.9,4.4,images/default_image.jpg
euru,Plátano,Brand B,2.2,0.5,11.7,34.5,3.4,images/default_image.jpg
euru,Yogur Griego,Brand H,4.06,1.5,13.3,17.7,6.6,images/default_image.jpg
euru,Huevos,Brand D,5.38,1.2,14.1,16.7,12.5,images/default_image.jpg
euru,Manzana,Brand I,0.61,1.0,29.8,14.8,18.6,images/default_image.jpg
euru,Manzana,Brand I,5.07,1.0,26.8,31.8,12.2,images/default_image.jpg
euru,Pechuga de Pollo,Brand G,6.33,3.0,26.5,33.7,19.1,images/default_image.jpg
euru,Plátano,Brand C,3.02,0.5,6.1,15.8,10.9,images/default_image.jpg
euru,Huevos,Brand B,0.68,1.2,27.1,27.4,4.1,images/default_image.jpg
euru,Avena,Brand F,6.48,2.5,16.6,46.8,2.2,images/default_image.jpg
euru,Yogur Griego,Brand E,0.86,1.5,13.3,16.6,12.9,images/default_image.jpg
euru,Manzana,Brand C,2.22,1.0,27.5,13.2,12.7,images/default_image.jpg
euru,Espinaca,Brand F,2.95,1.0,29.4,9.2,6.6,images/default_image.jpg
euru,Manzana,Brand F,6.38,1.0,28.3,25.2,12.5,images/default_image.jpg
euru,Espinaca,Brand J,1.82,1.0,11.0,41.6,16.4,images/default_image.jpg
euru,Avena,Brand E,5.16,2.5,6.8,29.3,1.8,images/default_image.jpg
euru,Pechuga de Pollo,Brand I,5.0,3.0,2.5,24.7,9.0,images/default_image.jpg
euru,Salmón,Brand J,2.03,5.0,18.3,35.1,1.3,images/default_image.jpg
euru,Brócoli,Brand H,4.61,1.5,19.1,22.3,4.8,images/default_image.jpg
euru,Salmón,Brand B,5.35,5.0,13.4,23.2,2.3,images/default_image.jpg
euru,Salmón,Brand I,1.1,5.0,15.1,9.4,17.6,images/default_image.jpg
euru,Salmón,Brand B,4.27,5.0,28.1,31.8,6.8,images/default_image.jpg
euru,Brócoli,Brand C,4.92,1.5,5.1,15.4,12.2,images/default_image.jpg
euru,Almendras,Brand J,1.73,7.0,29.0,24.0,18.4,images/default_image.jpg
euru,Espinaca,Brand F,2.03,1.0,2.2,23.9,19.3,images/default_image.jpg
euru,Yogur Griego,Brand J,0.73,1.5,13.9,37.9,18.0,images/default_image.jpg
euru,Plátano,Brand G,6.79,0.5,8.3,47.1,17.2,images/default_image.jpg
euru,Almendras,Brand F,2.65,7.0,15.3,31.5,1.3,images/default_image.jpg
euru,Manzana,Brand H,0.55,1.0,17.3,28.9,1.2,images/default_image.jpg
euru,Espinaca,Brand C,5.06,1.0,11.4,21.2,17.2,images/default_image.jpg
